CEP,CIDADE,BAIRRO,ENDEREÇO,COMPLEMENTO
60010790,Fortaleza/CE,Farias Brito,Travessa Santos Coelho,
60010800,Fortaleza/CE,Farias Brito,Vila Mendonça Neto,
60010810,Fortaleza/CE,Farias Brito,Rua Othon de Norões,
60010815,Fortaleza/CE,Farias Brito,Rua Frei Humberto,
60010820,Fortaleza/CE,Farias Brito,Rua Brejo Santo,
60010830,Fortaleza/CE,Farias Brito,Vila Nova,
60010835,Fortaleza/CE,Farias Brito,Rua Epifânio Leite,
60010838,Fortaleza/CE,Farias Brito,Travessa Epifânio Leite,
60010840,Fortaleza/CE,Farias Brito,Rua Borges da Fonseca,
60010842,Fortaleza/CE,Farias Brito,Travessa Paulo VI,
60010843,Fortaleza/CE,Farias Brito,Avenida José Jatahy - de 601 a 1099 - lado ímpar,
60010845,Fortaleza/CE,Farias Brito,Rua Salustiano José de Melo,
60011000,Fortaleza/CE,Farias Brito,Rua Boa Viagem,
60011010,Fortaleza/CE,Farias Brito,Travessa Padre José,
60011020,Fortaleza/CE,Farias Brito,Vila José Raimundo,
60011021,Fortaleza/CE,Farias Brito,Rua Odilon Soares,
60011030,Fortaleza/CE,Farias Brito,Vila Arizona,
60011040,Fortaleza/CE,Farias Brito,Rua dos Correntes,
60011050,Fortaleza/CE,Farias Brito,Rua José Alexandre,
60011060,Fortaleza/CE,Farias Brito,Rua Rúbia Sampaio,
60011070,Fortaleza/CE,Farias Brito,Vila das Virgens,
60011080,Fortaleza/CE,Farias Brito,Praça Sebastião Gomes da Silva,
60011090,Fortaleza/CE,Farias Brito,Travessa Raimundo Lopes,
60011100,Fortaleza/CE,Farias Brito,Rua Carlos Severo,
60011110,Fortaleza/CE,Farias Brito,Rua Justiniano de Serpa - até 679/680,
60011120,Fortaleza/CE,Farias Brito,Rua Bela Cruz,
60011130,Fortaleza/CE,Farias Brito,Vila das Graças,
60011140,Fortaleza/CE,Farias Brito,Travessa Vital,
60011160,Fortaleza/CE,Farias Brito,Rua Joaquim Barbosa dos Santos,
60011170,Fortaleza/CE,Farias Brito,Rua Dom Jerônimo - até 679/680,
60011173,Fortaleza/CE,Farias Brito,Avenida José Jatahy - de 1101 a 1899 - lado ímpar,
60011176,Fortaleza/CE,Farias Brito,Avenida José Jatahy - de 702 a 1098 - lado par,
60011180,Fortaleza/CE,Farias Brito,Vila Brilhante,
60011190,Fortaleza/CE,Farias Brito,Vila Liberato,
60011200,Fortaleza/CE,Farias Brito,Vila Nossa Senhora de Fátima,
60011210,Fortaleza/CE,Farias Brito,Vila São Chiquinho,
60011220,Fortaleza/CE,Farias Brito,Vila Marcelino,
60011230,Fortaleza/CE,Farias Brito,Vila Saraiva Barros,
60011240,Fortaleza/CE,Farias Brito,Travessa Nossa Senhora das Graças,
60011250,Fortaleza/CE,Farias Brito,Rua Beberibe,
60011260,Fortaleza/CE,Farias Brito,Vila São Mariano,
60011270,Fortaleza/CE,Farias Brito,Vila Alves Feitosa,
60011280,Fortaleza/CE,Farias Brito,Praça Farias Brito,
60011290,Fortaleza/CE,Farias Brito,Rua Mil e Quinhentos,
60011300,Fortaleza/CE,Farias Brito,Rua Santo Monte,
60011310,Fortaleza/CE,Farias Brito,Travessa Santa Norma,
60011320,Fortaleza/CE,Farias Brito,Rua Livreiro Arlindo,
60011330,Fortaleza/CE,Farias Brito,Praça dos Libertadores,
60011340,Fortaleza/CE,Farias Brito,Vila São Francisco,
60015000,Fortaleza/CE,Centro,Avenida Tristão Gonçalves - até 1309 - lado ímpar,
60015001,Fortaleza/CE,Centro,Avenida Tristão Gonçalves - até 1310 - lado par,
60015002,Fortaleza/CE,Benfica,Avenida Tristão Gonçalves - de 1312 ao fim - lado par,
60015005,Fortaleza/CE,Benfica,Avenida Tristão Gonçalves - de 1311 ao fim - lado ímpar,
60015010,Fortaleza/CE,Centro,Vila Adolfo Sales,
60015020,Fortaleza/CE,Benfica,Vila Cordeiro,
60015025,Fortaleza/CE,Benfica,Avenida Imperador - de 1361 ao fim - lado ímpar,
60015030,Fortaleza/CE,Benfica,Vila São Luís,
60015035,Fortaleza/CE,Benfica,Rua Princesa Isabel - de 1950/1951 ao fim,
60015038,Fortaleza/CE,Benfica,Rua Teresa Cristina - de 1950/1951 ao fim,
60015040,Fortaleza/CE,Benfica,Rua Tatuí,
60015050,Fortaleza/CE,Centro,Avenida Imperador - até 1358 - lado par,
60015051,Fortaleza/CE,Centro,Avenida Imperador - até 1359 - lado ímpar,
