CEP,CIDADE,BAIRRO,ENDEREÇO,COMPLEMENTO
60732770,Fortaleza/CE,Siqueira,Rua Roberto Rodrigues,
60732772,Fortaleza/CE,Siqueira,Travessa Roberto Rodrigues,
60732780,Fortaleza/CE,Siqueira,Rua Rodrigues Torres - até 581/582 (trecho posterior pertence a(o) Maracanaú),
60732790,Fortaleza/CE,Siqueira,Rua Sabino Filho,
60732792,Fortaleza/CE,Siqueira,Rua São Francisco Xavier,
60732795,Fortaleza/CE,Siqueira,Rua Paraíso Verde,
60732800,Fortaleza/CE,Siqueira,Rua Santo Anastácio,
60732810,Fortaleza/CE,Siqueira,Rua Incacesa,
60732820,Fortaleza/CE,Siqueira,Rua Santa Lúcia do Jari - até 1035/1036 (trecho posterior pertence a(o) Maracanaú),
60732821,Fortaleza/CE,Siqueira,Rua Santa Terezinha do Jari,
60732825,Fortaleza/CE,Siqueira,Rua Santo Inácio do Jari - até 969/970 (trecho posterior pertence a(o) Maracanaú),
60732830,Fortaleza/CE,Siqueira,Rua Santa Maria do Jari,
60732832,Fortaleza/CE,Siqueira,Rua 2 (Cj Paraíso),
60732833,Fortaleza/CE,Siqueira,Rua 3 (Cj Paraíso),
60732834,Fortaleza/CE,Siqueira,Rua 4 (Cj Paraíso),
60732835,Fortaleza/CE,Siqueira,Rua 1 (Cj Paraíso),
60732840,Fortaleza/CE,Siqueira,Rua São Francisco do Jari - até 1499/1500 (trecho posterior pertence a(o) Maracanaú),
60733015,Fortaleza/CE,Canindezinho,Rua A (Cj Siqueira II),
60733016,Fortaleza/CE,Canindezinho,Rua B (Cj Siqueira II),
60733017,Fortaleza/CE,Canindezinho,Rua C (Cj Siqueira II),
60733018,Fortaleza/CE,Canindezinho,Rua D (Cj Siqueira II),
60733019,Fortaleza/CE,Canindezinho,Rua E (Cj Siqueira II),
60733030,Fortaleza/CE,Canindezinho,Rua Santo Antônio de Pitaguari,
60733070,Fortaleza/CE,Canindezinho,Rua Nossa Senhora de Lourdes,
60733080,Fortaleza/CE,Canindezinho,Rua Santo Antônio,
60733090,Fortaleza/CE,Canindezinho,Rua Juscelino Kubitschek,
60733092,Fortaleza/CE,Canindezinho,Rua Mariano Nunes,
60733094,Fortaleza/CE,Canindezinho,Rua Manoel Felix,
60733095,Fortaleza/CE,Canindezinho,Rua Jornalista Serpa Neto,
60733096,Fortaleza/CE,Canindezinho,Rua Araci Alves Pereira,
60733098,Fortaleza/CE,Canindezinho,Rua Maria Fernandes,
60733100,Fortaleza/CE,Canindezinho,Rua Gaspar Dutra,
60733102,Fortaleza/CE,Canindezinho,Rua Luís Holanda Lima,
60733104,Fortaleza/CE,Canindezinho,Rua Tancredo Neves,
60733106,Fortaleza/CE,Canindezinho,Rua Cassimiro de Abreu,
60733108,Fortaleza/CE,Canindezinho,Travessa Nazaré Torres,
60733110,Fortaleza/CE,Canindezinho,Rua Dias Gomes,
60733112,Fortaleza/CE,Canindezinho,Rua Flávio Cavalcante,
60733115,Fortaleza/CE,Canindezinho,Rua Alencar César,
60733117,Fortaleza/CE,Canindezinho,Rua Atibaia,
60733120,Fortaleza/CE,Canindezinho,Rua Jataí,
60733122,Fortaleza/CE,Canindezinho,Rua Pedestre III (Lot Jardim Nazaré),
60733123,Fortaleza/CE,Canindezinho,Travessa Alencar César,
60733125,Fortaleza/CE,Canindezinho,Rua Santa Maria,
60733127,Fortaleza/CE,Canindezinho,Rua Onório Inácio,
60733130,Fortaleza/CE,Canindezinho,Rua São Pedro,
60733132,Fortaleza/CE,Canindezinho,Rua Israel França,
60733134,Fortaleza/CE,Canindezinho,Rua Júlio Rangel,
60733137,Fortaleza/CE,Canindezinho,Rua Anel Viário,
60733140,Fortaleza/CE,Canindezinho,Rua Santa Rita,
60733150,Fortaleza/CE,Canindezinho,Rua das Cerejas,
60733160,Fortaleza/CE,Canindezinho,Rua Rodrigues Alves,
60733165,Fortaleza/CE,Canindezinho,Rua Fátima Padilha,
60733170,Fortaleza/CE,Canindezinho,Rua Noel Rosa,
60733180,Fortaleza/CE,Canindezinho,Rua dos Morangos,
60733190,Fortaleza/CE,Canindezinho,Rua das Ameixas,
60733200,Fortaleza/CE,Canindezinho,Rua São Raimundo,
60733370,Fortaleza/CE,Canindezinho,Rua Santa Luzia,
60733372,Fortaleza/CE,Canindezinho,Rua Lucas Maia,
60733375,Fortaleza/CE,Canindezinho,Rua São João,
60733380,Fortaleza/CE,Canindezinho,Rua Nossa Senhora de Fátima,
60733382,Fortaleza/CE,Canindezinho,Rua Dezesseis de Junho,
60733384,Fortaleza/CE,Canindezinho,Travessa São Luiz,
60733385,Fortaleza/CE,Canindezinho,Travessa Marcos Barros,
60733386,Fortaleza/CE,Canindezinho,Travessa Boa Esperança,
60733390,Fortaleza/CE,Canindezinho,Travessa Santo Antônio,
60733392,Fortaleza/CE,Canindezinho,Rua São Francisco,
60733395,Fortaleza/CE,Canindezinho,Rua Pedro I,
60733397,Fortaleza/CE,Canindezinho,Rua 2 (Lot Nova Grinville),
60733400,Fortaleza/CE,Canindezinho,Rua Santa Inês,
60733402,Fortaleza/CE,Canindezinho,Rua Almir Dutra,
60733410,Fortaleza/CE,Canindezinho,Rua Nascimento,
60733415,Fortaleza/CE,Canindezinho,Rua São Luis,
60733420,Fortaleza/CE,Canindezinho,Rua Nossa Senhora Perpétuo Socorro,
60733425,Fortaleza/CE,Canindezinho,Rua Boa Esperança,
60733430,Fortaleza/CE,Canindezinho,Rua 1 (Cj Pequeno Canindezinho),
60733440,Fortaleza/CE,Canindezinho,Rua 2 (Cj Planalto Canindezinho),
60733610,Fortaleza/CE,Canindezinho,Rua Manoel Ribeiro,
60733680,Fortaleza/CE,Canindezinho,Rua Castelo Branco,
60733825,Fortaleza/CE,Canindezinho,Rua João Ferreira Cavalcante,
60734010,Fortaleza/CE,Canindezinho,Rua A (Cj Jardim Fluminense),
60734020,Fortaleza/CE,Canindezinho,Rua B (Cj Jardim Fluminense),
60734030,Fortaleza/CE,Canindezinho,Rua C (Cj Jardim Fluminense),
60734040,Fortaleza/CE,Canindezinho,Rua D (Cj Jardim Fluminense),
60734050,Fortaleza/CE,Canindezinho,Rua E (Cj Jardim Fluminense),
60734060,Fortaleza/CE,Canindezinho,Rua F (Cj Jardim Fluminense),
60734070,Fortaleza/CE,Canindezinho,Rua G (Cj Jardim Fluminense),
60734080,Fortaleza/CE,Canindezinho,Rua H (Cj Jardim Fluminense),
60734090,Fortaleza/CE,Canindezinho,Rua I (Cj Jardim Fluminense),
60734100,Fortaleza/CE,Canindezinho,Rua J (Cj Jardim Fluminense),
60734110,Fortaleza/CE,Canindezinho,Rua K (Cj Jardim Fluminense),
60734120,Fortaleza/CE,Canindezinho,Acesso A (Cj Jardim Fluminense),
60734130,Fortaleza/CE,Canindezinho,Acesso B (Cj Jardim Fluminense),
60734140,Fortaleza/CE,Canindezinho,Acesso C (Cj Jardim Fluminense),
60734150,Fortaleza/CE,Canindezinho,Acesso D (Cj Jardim Fluminense),
60734152,Fortaleza/CE,Canindezinho,Acesso E (Cj Jardim Fluminense),
60734155,Fortaleza/CE,Canindezinho,Rua Paranaguá,
60734162,Fortaleza/CE,Canindezinho,Rua Beira da Ponte,
60734165,Fortaleza/CE,Canindezinho,Rua Miguel Neto,
60734170,Fortaleza/CE,Canindezinho,Rua de Pedestre I (Cj Jardim Fluminense),
60734180,Fortaleza/CE,Canindezinho,Rua de Pedestre II (Cj Jardim Fluminense),
60734190,Fortaleza/CE,Canindezinho,Rua de Pedestre III (Cj Jardim Fluminense),
60734200,Fortaleza/CE,Canindezinho,Rua de Pedestre IV (Cj Jardim Fluminense),
60734210,Fortaleza/CE,Canindezinho,Rua de Pedestre V (Cj Jardim Fluminense),
60734220,Fortaleza/CE,Canindezinho,Rua de Pedestre VI (Cj Jardim Fluminense),
60734230,Fortaleza/CE,Canindezinho,Rua de Pedestre VII (Cj Jardim Fluminense),
60734240,Fortaleza/CE,Canindezinho,Rua de Pedestre VIII (Cj Jardim Fluminense),
60734250,Fortaleza/CE,Canindezinho,Rua de Pedestre IX (Cj Jardim Fluminense),
60734260,Fortaleza/CE,Canindezinho,Rua de Pedestre X (Cj Jardim Fluminense),
60734270,Fortaleza/CE,Canindezinho,Rua de Pedestre XI (Cj Jardim Fluminense),
60734280,Fortaleza/CE,Canindezinho,Rua de Pedestre XII (Cj Jardim Fluminense),
60734290,Fortaleza/CE,Canindezinho,Rua de Pedestre XIII (Cj Jardim Fluminense),
60734300,Fortaleza/CE,Canindezinho,Rua de Pedestre XIV (Cj Jardim Fluminense),
60734305,Fortaleza/CE,Canindezinho,Rua Cargila Sousa,
60734310,Fortaleza/CE,Canindezinho,Rua Osório Correia - de 2127/2128 ao fim,
60734320,Fortaleza/CE,Canindezinho,Rua Simone Aguiar Rocha,
60734330,Fortaleza/CE,Canindezinho,Rua São Felíciano,
60734340,Fortaleza/CE,Canindezinho,Rua Yara Rocha,
60734350,Fortaleza/CE,Canindezinho,Rua Herculano Pena - de 2156/2157 ao fim,
60734360,Fortaleza/CE,Canindezinho,Rua Marli Bessa,
60734370,Fortaleza/CE,Canindezinho,Rua Marinho Mariano,
60734380,Fortaleza/CE,Canindezinho,Rua Luís Gonçalves da Silva,
60734390,Fortaleza/CE,Canindezinho,Rua 9 (Lot Gênesis),
60734400,Fortaleza/CE,Canindezinho,Rua Paulo Lima,
60734410,Fortaleza/CE,Canindezinho,Rua Elisa de Oliveira,
60734420,Fortaleza/CE,Canindezinho,Rua Ana Paula Santos,
60734430,Fortaleza/CE,Canindezinho,Rua Pedro Viana Freire,
60734440,Fortaleza/CE,Canindezinho,Rua Arquilina Ferreira César,
60734445,Fortaleza/CE,Canindezinho,Rua 15 (Cj Planalto Vitória),
60734450,Fortaleza/CE,Canindezinho,Rua Jovino Coímbra,
60734452,Fortaleza/CE,Canindezinho,Rua Cônego de Castro - de 4142 ao fim - lado par,
60734455,Fortaleza/CE,Canindezinho,Rua Umarizeiras - até 1338/1339,
60734460,Fortaleza/CE,Canindezinho,Rua Guilhermina de Lima,
60734470,Fortaleza/CE,Canindezinho,Rua Roseli Sampaio,
60734480,Fortaleza/CE,Canindezinho,Rua José Gonzalo,
60734490,Fortaleza/CE,Canindezinho,Rua Francisco Teixeira Lima,
60734500,Fortaleza/CE,Canindezinho,Rua João Correia Lima,
60734510,Fortaleza/CE,Canindezinho,Rua Joaquim Cândido de Lima,
60734520,Fortaleza/CE,Canindezinho,Rua João Braz dos Santos,
60734530,Fortaleza/CE,Canindezinho,Rua Luzia Pereira da Costa,
60734540,Fortaleza/CE,Canindezinho,Rua Raimundo Nonato da Silva,
60734550,Fortaleza/CE,Canindezinho,Rua Sabina Bezerra,
60734560,Fortaleza/CE,Canindezinho,Rua Antonieta Braga,
60734570,Fortaleza/CE,Canindezinho,Rua Francisca Vieira,
60734580,Fortaleza/CE,Canindezinho,Rua Mariana Sampaio Alencar,
60734590,Fortaleza/CE,Canindezinho,Rua Olímpio Batista,
60734600,Fortaleza/CE,Canindezinho,Rua Alzira Albuquerque,
60734610,Fortaleza/CE,Canindezinho,Rua Otacílio Torquato,
60734620,Fortaleza/CE,Canindezinho,Rua Luís Gomes de Freitas,
60734630,Fortaleza/CE,Canindezinho,Avenida Euclides Paulino Barroso,
60734640,Fortaleza/CE,Canindezinho,Rua de Pedestre de 37 (Lot Gênesis),
60734650,Fortaleza/CE,Canindezinho,Rua Francisca Sampaio Lima,
60734660,Fortaleza/CE,Canindezinho,Rua Geci Freitas Monteiro,
60734670,Fortaleza/CE,Canindezinho,Rua José Dantas Pereira,
60734680,Fortaleza/CE,Canindezinho,Rua Francisco Flávio,
60734690,Fortaleza/CE,Canindezinho,Rua Expedito Madruga Monte,
60734700,Fortaleza/CE,Canindezinho,Rua Helayne Prado,
60734710,Fortaleza/CE,Canindezinho,Rua Professor Batista de Lima,
60734720,Fortaleza/CE,Canindezinho,Rua 52 (Lot Gênesis),
60734730,Fortaleza/CE,Canindezinho,Rua Ernesto Velozo,
60734740,Fortaleza/CE,Canindezinho,Travessa Juazeiro,
60734750,Fortaleza/CE,Canindezinho,Rua Antônio Ferreira,
60734760,Fortaleza/CE,Canindezinho,Rua Martins de Lima,
60734770,Fortaleza/CE,Canindezinho,Rua Aires César,
60734780,Fortaleza/CE,Canindezinho,Rua Clóvis Teixeira,
60734790,Fortaleza/CE,Canindezinho,Rua José Maria Alves,
60734800,Fortaleza/CE,Canindezinho,Rua Francineuda Sampaio Lima,
60734810,Fortaleza/CE,Canindezinho,Rua Giuliano Rossi,
60734820,Fortaleza/CE,Canindezinho,Rua Valdemar Batista Rodrigues,
60734830,Fortaleza/CE,Canindezinho,Rua Pedro Lima,
60734840,Fortaleza/CE,Canindezinho,Rua José Eusébio Barros,
60734842,Fortaleza/CE,Canindezinho,Rua José Paixão de Lima,
60734846,Fortaleza/CE,Canindezinho,Rua Gentil Pereira Junior,
60735030,Fortaleza/CE,Canindezinho,Rua 82 (Lot Gênesis),
60735040,Fortaleza/CE,Canindezinho,Rua de Pedestre de 84 (Lot Gênesis),
60735050,Fortaleza/CE,Canindezinho,Rua de Pedestre de 86 (Lot Gênesis),
60735060,Fortaleza/CE,Canindezinho,Rua de Pedestre de 88 (Lot Gênesis),
60735070,Fortaleza/CE,Canindezinho,Rua de Pedestre 90 (Lot Gênesis),
60736010,Fortaleza/CE,Siqueira,Rua Icapuy,
60736020,Fortaleza/CE,Siqueira,Rua Francisco Machado,
60736022,Fortaleza/CE,Siqueira,Travessa Ana Cristina,
60736025,Fortaleza/CE,Siqueira,Travessa Francisco Façanha,
60736028,Fortaleza/CE,Siqueira,Travessa Ana Paula,
60736030,Fortaleza/CE,Siqueira,Rua Indiara,
60736032,Fortaleza/CE,Siqueira,Travessa Danielle,
60736034,Fortaleza/CE,Siqueira,Travessa Ana Cecilia,
60736035,Fortaleza/CE,Siqueira,Travessa Alexandra,
60736038,Fortaleza/CE,Siqueira,Travessa Bejamim da Silva,
60736040,Fortaleza/CE,Siqueira,Rua General Rabelo,
60736044,Fortaleza/CE,Siqueira,Rua Cecília Maria Cavalcante,
60736046,Fortaleza/CE,Siqueira,Rua Núbia Araújo Cavalcante,
60736050,Fortaleza/CE,Siqueira,Rua Doutora Vanda Cidade,
60736052,Fortaleza/CE,Siqueira,Rua Juliana Nojosas,
60736055,Fortaleza/CE,Siqueira,Rua Plinio Bastos Cavalcante,
60736058,Fortaleza/CE,Siqueira,Rua Maria Cavalcante de Araújo,
60736060,Fortaleza/CE,Siqueira,Rua Cesarina Batista,
60736070,Fortaleza/CE,Siqueira,Rua da Comunidade,
60736120,Fortaleza/CE,Siqueira,Rua Divina,
60736122,Fortaleza/CE,Siqueira,Travessa Divina,
60736125,Fortaleza/CE,Siqueira,Travessa Âncora,
60736130,Fortaleza/CE,Siqueira,Rua Alves Bezerra,
60736132,Fortaleza/CE,Siqueira,Travessa Alves Bezerra,
60736140,Fortaleza/CE,Siqueira,Rua José Maurício,
60736145,Fortaleza/CE,Siqueira,Rua Padre Rino,
60736200,Fortaleza/CE,Siqueira,Rua Sandra Regina Araújo Cavalcante,
60736280,Fortaleza/CE,Siqueira,Rua A (Lot Siqueira II),
60736290,Fortaleza/CE,Siqueira,Rua B Lot Siqueira II,
60736300,Fortaleza/CE,Siqueira,Rua C Lot Siqueira II,
60736310,Fortaleza/CE,Siqueira,Rua A (Lot Prq Irajá),
60736320,Fortaleza/CE,Siqueira,Rua B (Lot Prq Irajá),
60736330,Fortaleza/CE,Siqueira,Rua C (Lot Prq Irajá),
60736340,Fortaleza/CE,Siqueira,Rua D (Lot Prq Irajá),
60736350,Fortaleza/CE,Siqueira,Rua E (Lot Prq Irajá),
60736360,Fortaleza/CE,Siqueira,Rua Durvalina Guedes de Almeida,
60740002,Fortaleza/CE,Parangaba,Avenida Doutor Silas Munguba - até 538 - lado par,
60740005,Fortaleza/CE,Parangaba,Avenida Doutor Silas Munguba - até 1409 - lado ímpar,
60740020,Fortaleza/CE,Parangaba,Rua Germano Franck,
60740021,Fortaleza/CE,Parangaba,Travessa Germano Franck,
60740070,Fortaleza/CE,Parangaba,Vila Metal,
60740080,Fortaleza/CE,Parangaba,Travessa Mamede,
60740090,Fortaleza/CE,Parangaba,Vila São Simplício,
60740100,Fortaleza/CE,Parangaba,Rua Caio Prado - de 201/202 ao fim,
60740101,Fortaleza/CE,Parangaba,Avenida Carlos Amora,
60740110,Fortaleza/CE,Parangaba,Rua Samuel Gurgel,
60740120,Fortaleza/CE,Parangaba,Rua José Queiroz Porto,
60740130,Fortaleza/CE,Parangaba,Rua Engenheiro José Henrique Frota,
60740140,Fortaleza/CE,Parangaba,Rua Guará,
60740145,Fortaleza/CE,Parangaba,Rua D (Lot Centro Sul),
60740148,Fortaleza/CE,Parangaba,Rua Eusébio de Queirós - de 2201/2202 ao fim,
60740152,Fortaleza/CE,Parangaba,Vila Santiago,
60740155,Fortaleza/CE,Parangaba,Rua F (Lot Centro Sul),
60740160,Fortaleza/CE,Parangaba,Rua Mana,
60740165,Fortaleza/CE,Parangaba,Rua G (Lot Centro Sul),
60740170,Fortaleza/CE,Parangaba,Vila Neide,
60740180,Fortaleza/CE,Parangaba,Vila Sol Nascente,
60740190,Fortaleza/CE,Parangaba,Rua Minerva,
60740200,Fortaleza/CE,Parangaba,Travessa São Luís,
60740210,Fortaleza/CE,Parangaba,Travessa Dez de Janeiro,
60740220,Fortaleza/CE,Parangaba,Vila Alderez,
60740230,Fortaleza/CE,Parangaba,Rua Treze de Maio,
60740231,Fortaleza/CE,Parangaba,Rua São Luís,
60740235,Fortaleza/CE,Parangaba,Rua Iara,
60740240,Fortaleza/CE,Itaoca,Rua Bogari,
60740250,Fortaleza/CE,Itaoca,Vila Nascente,
60740265,Fortaleza/CE,Itaoca,Rua Júlio Verne - de 241/242 ao fim,
60740270,Fortaleza/CE,Itaoca,Vila Nossa Senhora do Amparo,
60740280,Fortaleza/CE,Itaoca,Vila Parente,
60740290,Fortaleza/CE,Itaoca,Vila Dona Úrsula,
60740300,Fortaleza/CE,Itaoca,Vila Del Rei,
60740321,Fortaleza/CE,Itaoca,Vila Coronel Joaquim de Carvalho,
60740325,Fortaleza/CE,Itaoca,Rua Galileu - de 357/358 ao fim,
60740330,Fortaleza/CE,Itaoca,Vila Sílvia Helena,
60740355,Fortaleza/CE,Itaoca,Rua Cônego Lima Sucupira - de 1771/1772 ao fim,
60740370,Fortaleza/CE,Itaoca,Rua Hércules,
60740380,Fortaleza/CE,Itaoca,Rua Outono,
60740390,Fortaleza/CE,Itaoca,Vila Jonas,
60740400,Fortaleza/CE,Itaoca,Vila Alabama,
60740410,Fortaleza/CE,Itaoca,Vila Maciel de Brito,
60740420,Fortaleza/CE,Itaoca,Rua Diana,
60740422,Fortaleza/CE,Itaoca,Travessa Diana,
60740430,Fortaleza/CE,Itaoca,Vila Euclides,
60740440,Fortaleza/CE,Itaoca,Rua Flor de Lis,
60740450,Fortaleza/CE,Itaoca,Travessa Raimundo Ventura,
60740460,Fortaleza/CE,Itaoca,Rua Pedro Coelho,
60740462,Fortaleza/CE,Itaoca,Travessa Equador,
60740470,Fortaleza/CE,Itaoca,Rua Equador - de 251/252 a 1098/1099,
60740480,Fortaleza/CE,Itaoca,Vila Branca,
60740490,Fortaleza/CE,Itaoca,Vila da Graça,
60740500,Fortaleza/CE,Itaoca,Vila Ricardo Franco,
60740510,Fortaleza/CE,Itaoca,Rua Peru - de 381/382 a 1189/1190,
60740530,Fortaleza/CE,Itaoca,Vila Joaquim Matias,
60740540,Fortaleza/CE,Parangaba,Rua Padre Carlos Quixadá,
60740545,Fortaleza/CE,Parangaba,Rua Rita Coelho,
60740550,Fortaleza/CE,Parangaba,Rua Alcides Santos,
60740552,Fortaleza/CE,Parangaba,Travessa Alcides Santos,
60740560,Fortaleza/CE,Parangaba,Alameda Oxalá,
60740570,Fortaleza/CE,Parangaba,Rua Topógrafo Sales,
60740580,Fortaleza/CE,Parangaba,Alameda Oxossi,
60740590,Fortaleza/CE,Parangaba,Rua Pedro Riquet,
60740600,Fortaleza/CE,Parangaba,Rua Aluísio Mamede,
60740620,Fortaleza/CE,Serrinha,Vila Bernardino,
60740630,Fortaleza/CE,Parangaba,Rua Eduardo Perdigão - de 241/242 ao fim,
60740650,Fortaleza/CE,Parangaba,Vila Joaquim Manuel,
60740660,Fortaleza/CE,Parangaba,Vila Luís Dourado,
60740670,Fortaleza/CE,Parangaba,Vila Nascimento,
60740680,Fortaleza/CE,Parangaba,Vila Nobreza,
60740690,Fortaleza/CE,Parangaba,Rua João Gurgel Nogueira,
60740700,Fortaleza/CE,Parangaba,Rua Oton Soares,
60740720,Fortaleza/CE,Parangaba,Vila Sebastião Nobre,
60740730,Fortaleza/CE,Parangaba,Vila Sousa,
60740745,Fortaleza/CE,Parangaba,Rua Thomas Edson - até 989/990,
60740750,Fortaleza/CE,Parangaba,Rua José Camelo,
60740770,Fortaleza/CE,Parangaba,Vila Josué,
60740780,Fortaleza/CE,Parangaba,Rua Quito,
60740782,Fortaleza/CE,Parangaba,Travessa Peru,
60740786,Fortaleza/CE,Parangaba,Rua Peru - de 1191/1192 a 1739/1740,
60740788,Fortaleza/CE,Parangaba,Rua Equador - de 1100/1101 a 1618/1619,
60740790,Fortaleza/CE,Parangaba,Rua Caracas,
60740904,Fortaleza/CE,Parangaba,Rua Germano Franck 375 , Edifício Condomínio Parque Morabem
60741000,Fortaleza/CE,Serrinha,Rua Governador João Carlos,
60741005,Fortaleza/CE,Serrinha,Avenida Doutor Silas Munguba - de 1411 a 3341 - lado ímpar,
60741010,Fortaleza/CE,Serrinha,Rua Magnólia,
60741025,Fortaleza/CE,Serrinha,Rua Doutor Justa Araújo - até 898/899,
60741030,Fortaleza/CE,Serrinha,Vila Ivanir,
60741040,Fortaleza/CE,Serrinha,Rua Barba Alardo,
60741050,Fortaleza/CE,Serrinha,Rua Efrem Gondim,
60741060,Fortaleza/CE,Serrinha,Vila Virgínia,
60741070,Fortaleza/CE,Serrinha,Vila Sideral,
60741080,Fortaleza/CE,Serrinha,Vila Fonteles,
60741090,Fortaleza/CE,Serrinha,Rua Benjamim Franklin,
60741100,Fortaleza/CE,Serrinha,Travessa Santanópolis,
60741110,Fortaleza/CE,Serrinha,Rua Antônio Botelho,
60741120,Fortaleza/CE,Serrinha,Vila Cruzeiro,
60741130,Fortaleza/CE,Serrinha,Vila Zico,
60741145,Fortaleza/CE,Serrinha,Rua Américo Vespúcio - até 928/929,
60741148,Fortaleza/CE,Serrinha,Rua Betel - até 919/920,
60741150,Fortaleza/CE,Serrinha,Rua Cabaca,
60741170,Fortaleza/CE,Serrinha,Travessa Santo Onofre,
60741190,Fortaleza/CE,Serrinha,Vila Ticiana,
60741200,Fortaleza/CE,Serrinha,Rua Álvares Cabral,
60741201,Fortaleza/CE,Serrinha,Vila Cecília,
60741205,Fortaleza/CE,Serrinha,Rua Júlio Verne - até 239/240,
60741208,Fortaleza/CE,Serrinha,Vila São Bernardino,
60741210,Fortaleza/CE,Serrinha,Vila Mirian,
60741215,Fortaleza/CE,Serrinha,Avenida Senador Carlos Jereissati - de 2996/2997 ao fim,
60741220,Fortaleza/CE,Serrinha,Vila Viviane,
60741224,Fortaleza/CE,Serrinha,Vila Mazim,
60741225,Fortaleza/CE,Serrinha,Rua Galileu - até 355/356,
60741230,Fortaleza/CE,Serrinha,Vila Vanessa,
60741240,Fortaleza/CE,Serrinha,Rua Provisória,
60741250,Fortaleza/CE,Serrinha,Rua Padre Ascenço Gago,
60741252,Fortaleza/CE,Serrinha,Vila Maria Fernandes,
60741255,Fortaleza/CE,Serrinha,Rua Cônego Lima Sucupira - até 1769/1770,
60741260,Fortaleza/CE,Serrinha,Rua Mauritânia,
60741270,Fortaleza/CE,Serrinha,Rua Antônio Simões,
60741280,Fortaleza/CE,Serrinha,Rua Inácio Parente,
60741290,Fortaleza/CE,Serrinha,Travessa Del Santos,
60741300,Fortaleza/CE,Serrinha,Rua Guerra Junqueiro,
60741302,Fortaleza/CE,Serrinha,Travessa do Colégio,
60741310,Fortaleza/CE,Serrinha,Vila Turmalina,
60741320,Fortaleza/CE,Serrinha,Vila Vasti,
60741330,Fortaleza/CE,Serrinha,Rua Iguatu,
60741340,Fortaleza/CE,Serrinha,Vila São Rafael,
60741350,Fortaleza/CE,Serrinha,Vila Lima Campos,
60741360,Fortaleza/CE,Serrinha,Vila Morange,
60741370,Fortaleza/CE,Serrinha,Rua Vitoriano Borges,
60741372,Fortaleza/CE,Serrinha,Travessa Amor Base,
60741380,Fortaleza/CE,Serrinha,Rua Leão XIII,
60741381,Fortaleza/CE,Serrinha,Travessa Leão XIII,
60741390,Fortaleza/CE,Serrinha,Vila Sales,
60741400,Fortaleza/CE,Serrinha,Vila Gomes,
60741410,Fortaleza/CE,Serrinha,Rua Padre Nóbrega,
60741420,Fortaleza/CE,Serrinha,Rua Japi,
60741430,Fortaleza/CE,Serrinha,Vila Del Rio,
60741440,Fortaleza/CE,Serrinha,Rua Marajó,
60741450,Fortaleza/CE,Serrinha,Rua Madre Elisa Baldo,
60741460,Fortaleza/CE,Serrinha,Travessa Eduardo Mota,
60741470,Fortaleza/CE,Serrinha,Vila Luís Nogueira,
60741480,Fortaleza/CE,Serrinha,Vila Edilson Lima,
60741490,Fortaleza/CE,Serrinha,Vila Consuelo,
60741500,Fortaleza/CE,Serrinha,Vila Santa Vera,
60741502,Fortaleza/CE,Serrinha,Vila Santa Ana,
60741504,Fortaleza/CE,Serrinha,Travessa São Paulo,
60741506,Fortaleza/CE,Serrinha,Travessa São Luiz,
60741508,Fortaleza/CE,Serrinha,Travessa São Carlos,
60741510,Fortaleza/CE,Serrinha,Rua Santiago,
60741520,Fortaleza/CE,Serrinha,Vila Maria Pessoa,
60741525,Fortaleza/CE,Serrinha,Rua Mal-Me-Quer - até 529/530,
60741530,Fortaleza/CE,Serrinha,Travessa Maria Pessoa,
60741540,Fortaleza/CE,Serrinha,Travessa Iturama,
60741550,Fortaleza/CE,Serrinha,Travessa da Paz,
60741560,Fortaleza/CE,Serrinha,Rua Montevidéu,
60741562,Fortaleza/CE,Serrinha,Vila Malheiros,
60741570,Fortaleza/CE,Serrinha,Rua Vila Rica,
60741572,Fortaleza/CE,Serrinha,Travessa dos Astros,
60741574,Fortaleza/CE,Serrinha,Vila Mirasselva,
60741575,Fortaleza/CE,Serrinha,Avenida Doutor Silas Munguba - de 3343 a 4995 - lado ímpar,
60741576,Fortaleza/CE,Serrinha,Vila Lobo,
60741580,Fortaleza/CE,Serrinha,Alameda Italiana,
60741582,Fortaleza/CE,Serrinha,Vila Emídio Teodoro Oliveira,
60741595,Fortaleza/CE,Serrinha,Rua Antônio Acioli - até 878/879,
60741600,Fortaleza/CE,Serrinha,Avenida Bernardo Manuel - até 7800 - lado par,
60741605,Fortaleza/CE,Serrinha,Avenida Bernardo Manuel - até 7801 - lado ímpar,
60741660,Fortaleza/CE,Serrinha,Vila Alan Neto,
60741670,Fortaleza/CE,Serrinha,Vila Araújo Castro,
60741680,Fortaleza/CE,Serrinha,Vila Castelo,
60741690,Fortaleza/CE,Serrinha,Travessa da Esperança,
60741700,Fortaleza/CE,Serrinha,Vila Etano,
60741710,Fortaleza/CE,Serrinha,Vila Florença,
60741720,Fortaleza/CE,Serrinha,Rua Ilhas Canárias,
60741730,Fortaleza/CE,Serrinha,Rua Lima,
60741740,Fortaleza/CE,Serrinha,Rua Antonieta Virino,
60741741,Fortaleza/CE,Serrinha,Vila Manuel de Castro,
60741750,Fortaleza/CE,Serrinha,Vila Puebla,
60741760,Fortaleza/CE,Serrinha,Vila Sandro Luís,
60741770,Fortaleza/CE,Serrinha,Vila Santa Rita,
